UNIT,EXERCISE,ENGLISH,KOREAN,ANSWER1,ANSWER2,WORD,TRANS
10,3,"The family r__________ discussed the vacation plans, considering everyone's preferences.",그 가족은 모두의 선호도를 고려하면서 휴가 계획에 대해 합리적으로 논의했다.,reasonably,,reasonable,합리적인
10,3,Team collaboration is an important e__________ of the job.,팀 협업은 그 업무의 중요한 요소이다.,element,,element,요소
10,4,Plants respond to environmental s__________ such as light and temperature changes.,식물은 빛과 온도 변화와 같은 환경 자극에 반응한다.,stimuli,,stimulus,자극
10,4,"Because her handwriting was nearly i__________ to her mother's, it was hard to distinguish between",그녀의 필체가 그녀 어머니의 필체와 거의 동일해서 둘을 구별하기 어려웠다.,identical,,identical,동일한
10,4,Being fluent in multiple languages can be a__________ considerable a when traveling.,여러 언어에 능통하다는 것은 여행할 때 상당한 이점일 수 있다.,advantage,,advantage,이점
10,5-6,The lawyer questioned the l__________ of the contract due to its unclear terms.,예술가들은 자주 세상을 고유하고 상상력 넘치는 방식으로 인식한다.,perceive,,perceive,인식하다
10,5-6,Our team's winning s__________ is a combination of strong defense and quick counterattacks.,우리 팀의 승리 전략은 강력한 수비와 빠른 역습의 조합이다.,strategy,,strategy,전략
10,5-6,The website is considered t__________ because it provides accurate and reliable information.,그 웹사이트는 정확하고 신뢰할 수 있는 정보를 제공하기 때문에 신뢰할 수 있다고 여겨진다.,trustworthy,,trustworthy,신뢰할 수 있는
10,7,The lawyer questioned the l__________ of the contract due to its unclear terms.,그 변호사는 계약의 불명확한 조항 때문에 그 합법성에 의문을 제기했다.,legality,,legality,합법성
10,7,The young birds in the nest were v__________ without their mother's protection.,둥지 속의 어린 새들은 어미의 보호 없이 취약했다.,vulnerable,,vulnerable,취약한
10,7,The s__________ gentleman impressed everyone with his extensive knowledge of art.,그 지적 수준이 높은 신사는 그의 폭넓은 예술 지식으로 모두에게 깊은 인상을 주었다.,sophisticated,,sophisticated,세련된
10,8,A young businessperson received m__________ support from investors to start his new business.,한 젊은 사업가가 투자자들로부터 새로운 사업을 시작하기 위한 금전적 지원을 받았다.,monetary,,monetary,금전적인
10,8,Eating a balanced diet is c__________ for maintaining good health and preventing illness.,균형 잡힌 식사를 하는 것은 좋은 건강을 유지하고 질병을 예방하는데 대단히 중요하다.,crucial,,crucial,매우 중요한
10,8,The small island's economy is heavily d__________ on tourism for its survival.,그 작은 섬의 경제는 생존을 위해 관광업에 크게 의존하고 있다.,dependent,,dependent,의존하는
10,9,"The ball fell to the ground because of g__________, the force that pulls things down.","그 공은 중력, 즉 사물을 아래로 당기는 힘 때문에 땅에 떨어졌다.",gravity,,gravity,중력
10,9,The new laws will g__________ how businesses operate in this country.,새로운 법률은 이 나라에서 기업이 운영되는 방식을 규정할 것이다.,govern,,govern,규정하다
10,9,"If you need a__________ help with your homework, please ask your teacher after class.",숙제에 추가 도움이 필요하면 수업 후에 여러분의 선생님께 요청하세요.,additional,,additional,추가적인
10,10,Kate's c__________ effort in practicing English resulted in significant improvement in her speaking skills.,Kate의 영어를 연습하는 일관된 노력은 그녀의 말하기 능력을 크게 향상시켰다.,consistent,,consistent,일관된
10,10,The experiment must have clear instructions to ensure the results are r__________ by other researchers.,실험은 다른 연구자들이 결과를 재현할 수 있도록 명확한 지침을 가져야 한다.,reproducible,,reproducible,재현 가능한
10,10,The politician's promises to lower taxes c__________ his voting record of supporting tax increases.,그 정치인의 세금 인하 약속은 세금 인상을 지지한 그의 투표 기록과 모순된다.,contradict,,contradict,모순되다
10,11-12,The old man had an i__________ distrust of strangers.,그 노인은 낯선 사람에 대한 본능적인 불신을 가지고 있었다.,instinctive,,instinctive,본능적인
10,11-12,The chameleon's ability to change its skin color is an a__________ that helps it hide from predators.,카멜레온이 피부색을 바꿀 수 있는 능력은 포식자로부터 숨는 데 도움이 되는 적응 형태이다.,adaptation,,adaptation,적응
10,11-12,"Our s__________ organs, like our eyes and ears, help us perceive the world around us.",우리의 눈과 귀 같은 감각 기관은 주변 세상을 인식하는 데 도움을 준다.,sensory,,sensory,감각의
